accession	level	sample_accession	url
GSE173706	sample	GSM5277182	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277182/suppl/GSM5277182_PN-369PC.csv.gz
GSE173706	sample	GSM5277183	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277183/suppl/GSM5277183_PN-5851.csv.gz
GSE173706	sample	GSM5277184	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277184/suppl/GSM5277184_PN-7802ED.csv.gz
GSE173706	sample	GSM5277185	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277185/suppl/GSM5277185_PN-8659ED.csv.gz
GSE173706	sample	GSM5277186	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277186/suppl/GSM5277186_PN-8940.csv.gz
GSE173706	sample	GSM5277187	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277187/suppl/GSM5277187_PN-929.csv.gz
GSE173706	sample	GSM5277188	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277188/suppl/GSM5277188_PN-9709PC.csv.gz
GSE173706	sample	GSM5277189	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277189/suppl/GSM5277189_PP-30696.csv.gz
GSE173706	sample	GSM5277190	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277190/suppl/GSM5277190_PP-30696V3.csv.gz
GSE173706	sample	GSM5277191	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277191/suppl/GSM5277191_PP-31170.csv.gz
GSE173706	sample	GSM5277192	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277192/suppl/GSM5277192_PP-31277.csv.gz
GSE173706	sample	GSM5277193	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277193/suppl/GSM5277193_PP-31499.csv.gz
GSE173706	sample	GSM5277194	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277194/suppl/GSM5277194_PP-369PC.csv.gz
GSE173706	sample	GSM5277195	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277195/suppl/GSM5277195_PP-5851.csv.gz
GSE173706	sample	GSM5277196	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277196/suppl/GSM5277196_PP-6215A.csv.gz
GSE173706	sample	GSM5277197	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277197/suppl/GSM5277197_PP-6215B.csv.gz
GSE173706	sample	GSM5277198	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277198/suppl/GSM5277198_PP-7802ED.csv.gz
GSE173706	sample	GSM5277199	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277199/suppl/GSM5277199_PP-8659ED.csv.gz
GSE173706	sample	GSM5277200	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277200/suppl/GSM5277200_PP-8940.csv.gz
GSE173706	sample	GSM5277201	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277201/suppl/GSM5277201_PP-929.csv.gz
GSE173706	sample	GSM5277202	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5277nnn/GSM5277202/suppl/GSM5277202_PP-9709PC.csv.gz
GSE225475	series		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225475/suppl/GSE225475_RAW.tar
GSE225475	sample	GSM7049132	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049132/suppl/GSM7049132_NS1.tar.gz
GSE225475	sample	GSM7049133	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049133/suppl/GSM7049133_NS2.tar.gz
GSE225475	sample	GSM7049134	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049134/suppl/GSM7049134_PP1.tar.gz
GSE225475	sample	GSM7049135	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049135/suppl/GSM7049135_PP2.tar.gz
GSE225475	sample	GSM7049136	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049136/suppl/GSM7049136_PP3.tar.gz
GSE225475	sample	GSM7049137	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7049nnn/GSM7049137/suppl/GSM7049137_PP4.tar.gz
GSE202011	series		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202011/suppl/GSE202011_RAW.tar
GSE202011	series		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202011/suppl/GSE202011_st_images.tar.gz
GSE202011	sample	GSM6086615	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086615/suppl/GSM6086615_ST_13_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086616	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086616/suppl/GSM6086616_ST_13_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086617	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086617/suppl/GSM6086617_ST_14_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086618	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086618/suppl/GSM6086618_ST_14_L_R2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086619	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086619/suppl/GSM6086619_ST_14_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086620	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086620/suppl/GSM6086620_ST_15_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086621	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086621/suppl/GSM6086621_ST_15_L_R2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086622	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086622/suppl/GSM6086622_ST_15_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086623	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086623/suppl/GSM6086623_ST_16_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086624	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086624/suppl/GSM6086624_ST_16_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086625	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086625/suppl/GSM6086625_ST_17_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086626	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086626/suppl/GSM6086626_ST_17_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086627	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086627/suppl/GSM6086627_ST_18_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086628	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086628/suppl/GSM6086628_ST_18_L_R2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086629	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086629/suppl/GSM6086629_ST_18_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086630	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086630/suppl/GSM6086630_ST_20_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086631	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086631/suppl/GSM6086631_ST_20_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086632	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086632/suppl/GSM6086632_ST_21_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086633	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086633/suppl/GSM6086633_ST_21_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086634	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086634/suppl/GSM6086634_ST_22_L_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086635	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086635/suppl/GSM6086635_ST_22_NL_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086636	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086636/suppl/GSM6086636_ST_L_RP1_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086637	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086637/suppl/GSM6086637_ST_L_RP2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086638	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086638/suppl/GSM6086638_ST_HM_1_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086639	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086639/suppl/GSM6086639_ST_HM_1_R2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086640	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086640/suppl/GSM6086640_ST_HF_1_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086641	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086641/suppl/GSM6086641_ST_HF_1_R2_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086642	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086642/suppl/GSM6086642_ST_HF_2E_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086643	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086643/suppl/GSM6086643_ST_HF_2T_filtered_feature_bc_matrix.h5
GSE202011	sample	GSM6086644	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6086nnn/GSM6086644/suppl/GSM6086644_ST_HF_1T_filtered_feature_bc_matrix.h5
