sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086616	F6	CORE	fibroblast_matrix	0.24655169046239392	660
GSM6086616	F6	CORE	fibroblast_inflammatory	0.3969221018719225	660
GSM6086616	F6	CORE	endothelial_vascular	0.3693935117491218	660
GSM6086616	F6	CORE	myeloid_dendritic	0.3675449595584499	660
GSM6086616	F6	CORE	T_NK_cytotoxic	0.3617666626527899	660
GSM6086616	F6	CORE	B_plasma	0.17896204424719908	660
GSM6086616	F6	EXTENDED	keratinocyte_basal	0.38145831984342826	660
GSM6086616	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.448142073279115	660
GSM6086616	F6	EXTENDED	keratinocyte_inflammatory_T17	0.33155736477193426	660
GSM6086616	F6	EXTENDED	keratinocyte_stress_hypoxia	0.40194402146113095	660
GSM6086616	F6	EXTENDED	fibroblast_matrix	0.28616095983723266	660
GSM6086616	F6	EXTENDED	fibroblast_inflammatory	0.4343121238041327	660
GSM6086616	F6	EXTENDED	endothelial_vascular	0.40179267600116897	660
GSM6086616	F6	EXTENDED	myeloid_dendritic	0.4004948198248373	660
GSM6086616	F6	EXTENDED	T_NK_cytotoxic	0.360880860889845	660
GSM6086616	F6	EXTENDED	B_plasma	0.18524329238895407	660
GSM6086616	F7	CORE	keratinocyte_basal	0.3895510280778073	660
GSM6086616	F7	CORE	keratinocyte_spinous_suprabasal	0.47172821205223947	660
GSM6086616	F7	CORE	keratinocyte_inflammatory_T17	0.3447523115055115	660
GSM6086616	F7	CORE	keratinocyte_stress_hypoxia	0.42292104718484885	660
GSM6086616	F7	CORE	fibroblast_matrix	0.2716515032394637	660
GSM6086616	F7	CORE	fibroblast_inflammatory	0.42500194737684305	660
GSM6086616	F7	CORE	endothelial_vascular	0.44146298739035367	660
GSM6086616	F7	CORE	myeloid_dendritic	0.40763879430337085	660
GSM6086616	F7	CORE	T_NK_cytotoxic	0.3811722261588457	660
GSM6086616	F7	CORE	B_plasma	0.19307865504792626	660
GSM6086616	F7	EXTENDED	keratinocyte_basal	0.39273922279522394	660
GSM6086616	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.47962422928783055	660
GSM6086616	F7	EXTENDED	keratinocyte_inflammatory_T17	0.3468644848087483	660
GSM6086616	F7	EXTENDED	keratinocyte_stress_hypoxia	0.4299718142229167	660
GSM6086616	F7	EXTENDED	fibroblast_matrix	0.27780173167565764	660
GSM6086616	F7	EXTENDED	fibroblast_inflammatory	0.4247459954307343	660
GSM6086616	F7	EXTENDED	endothelial_vascular	0.44419833481167775	660
GSM6086616	F7	EXTENDED	myeloid_dendritic	0.4011097188241572	660
GSM6086616	F7	EXTENDED	T_NK_cytotoxic	0.384612414253342	660
GSM6086616	F7	EXTENDED	B_plasma	0.198811434370336	660
GSM6086617	F1	CORE	keratinocyte_basal	0.33100431732154834	459
GSM6086617	F1	CORE	keratinocyte_spinous_suprabasal	0.1889335528653005	459
GSM6086617	F1	CORE	keratinocyte_inflammatory_T17	0.2635536471456312	459
GSM6086617	F1	CORE	keratinocyte_stress_hypoxia	0.38272467671616844	459
GSM6086617	F1	CORE	fibroblast_matrix	0.10853457034305741	459
GSM6086617	F1	CORE	fibroblast_inflammatory	0.29243960903346133	459
GSM6086617	F1	CORE	endothelial_vascular	0.351930441615999	459
GSM6086617	F1	CORE	myeloid_dendritic	0.5393256360235675	459
GSM6086617	F1	CORE	T_NK_cytotoxic	0.4247124020406029	459
GSM6086617	F1	CORE	B_plasma	0.0886833333487451	459
GSM6086617	F1	EXTENDED	keratinocyte_basal	0.4010746847779961	459
GSM6086617	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.2595559953392216	459
GSM6086617	F1	EXTENDED	keratinocyte_inflammatory_T17	0.33717248348247203	459
GSM6086617	F1	EXTENDED	keratinocyte_stress_hypoxia	0.4371978583985862	459
GSM6086617	F1	EXTENDED	fibroblast_matrix	0.12085911924434535	459
GSM6086617	F1	EXTENDED	fibroblast_inflammatory	0.3147175218186481	459
GSM6086617	F1	EXTENDED	endothelial_vascular	0.3543558146646586	459
GSM6086617	F1	EXTENDED	myeloid_dendritic	0.552489060264777	459
GSM6086617	F1	EXTENDED	T_NK_cytotoxic	0.4637001214256252	459
GSM6086617	F1	EXTENDED	B_plasma	0.08861472998787559	459
GSM6086617	F2	CORE	keratinocyte_basal	0.383410088017654	459
GSM6086617	F2	CORE	keratinocyte_spinous_suprabasal	0.28003940432142566	459
GSM6086617	F2	CORE	keratinocyte_inflammatory_T17	0.3339775212246325	459
GSM6086617	F2	CORE	keratinocyte_stress_hypoxia	0.43533326985718035	459
GSM6086617	F2	CORE	fibroblast_matrix	0.11711519882340563	459
GSM6086617	F2	CORE	fibroblast_inflammatory	0.31027844933522375	459
GSM6086617	F2	CORE	endothelial_vascular	0.37922093067060625	459
GSM6086617	F2	CORE	myeloid_dendritic	0.5482800948476307	459
GSM6086617	F2	CORE	T_NK_cytotoxic	0.45696109679368274	459
GSM6086617	F2	CORE	B_plasma	0.09431729678516611	459
GSM6086617	F2	EXTENDED	keratinocyte_basal	0.37637572048148366	459
GSM6086617	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.24721158827452605	459
GSM6086617	F2	EXTENDED	keratinocyte_inflammatory_T17	0.32771262030115866	459
GSM6086617	F2	EXTENDED	keratinocyte_stress_hypoxia	0.42192601146813785	459
GSM6086617	F2	EXTENDED	fibroblast_matrix	0.19493100923331985	459
GSM6086617	F2	EXTENDED	fibroblast_inflammatory	0.3558899132902799	459
GSM6086617	F2	EXTENDED	endothelial_vascular	0.3803202576305243	459
GSM6086617	F2	EXTENDED	myeloid_dendritic	0.5512787932497417	459
GSM6086617	F2	EXTENDED	T_NK_cytotoxic	0.4545219008778171	459
GSM6086617	F2	EXTENDED	B_plasma	0.09910950255235335	459
GSM6086617	F6	CORE	keratinocyte_basal	0.4182569870200983	459
GSM6086617	F6	CORE	keratinocyte_spinous_suprabasal	0.3072116640008013	459
GSM6086617	F6	CORE	keratinocyte_inflammatory_T17	0.3558313656341433	459
GSM6086617	F6	CORE	keratinocyte_stress_hypoxia	0.463631073451554	459
GSM6086617	F6	CORE	fibroblast_matrix	-0.03056197464707075	459
GSM6086617	F6	CORE	fibroblast_inflammatory	0.22115181461575215	459
GSM6086617	F6	CORE	endothelial_vascular	0.3200489918126273	459
GSM6086617	F6	CORE	myeloid_dendritic	0.5370990011149341	459
GSM6086617	F6	CORE	T_NK_cytotoxic	0.4060616826892548	459
GSM6086617	F6	CORE	B_plasma	0.07162039820564677	459
GSM6086617	F6	EXTENDED	keratinocyte_basal	0.440432401666394	459
GSM6086617	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.2981821293154547	459
GSM6086617	F6	EXTENDED	keratinocyte_inflammatory_T17	0.37043823779664253	459
GSM6086617	F6	EXTENDED	keratinocyte_stress_hypoxia	0.48721977577723335	459
GSM6086617	F6	EXTENDED	fibroblast_matrix	0.005122020517448064	459
GSM6086617	F6	EXTENDED	fibroblast_inflammatory	0.2663598263454021	459
GSM6086617	F6	EXTENDED	endothelial_vascular	0.3325065948794147	459
GSM6086617	F6	EXTENDED	myeloid_dendritic	0.5514971009075171	459
GSM6086617	F6	EXTENDED	T_NK_cytotoxic	0.46853680143034276	459
GSM6086617	F6	EXTENDED	B_plasma	0.07312501609267322	459
GSM6086617	F7	CORE	keratinocyte_basal	0.4374761153826059	459
GSM6086617	F7	CORE	keratinocyte_spinous_suprabasal	0.19788427950572635	459
GSM6086617	F7	CORE	keratinocyte_inflammatory_T17	0.23800846749418222	459
