source_table	donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count	axis	program_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type	dominant_cell_type	dominant_mean_score	secondary_cell_type	secondary_mean_score	specificity_delta_vs_second	n_cell_types_observed	core_extended_pseudobulk_spearman	n_donor_celltype_units	contrast	mean_treatment_shift
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	myeloid_monocyte	0.2814607336093375	86.0	0.1985310277733965	86.0	0.1352053082170606	86.0	0.1585185936024196	86.0	0.3271991894835274	86.0	0.3071685310714273	86.0	1.0771660340886968	86.0	0.6429927400630063	86.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	pericyte_smooth_muscle	0.323331794013025	1260.0	0.2302499347591911	1260.0	0.1593830961539591	1260.0	0.1883350669989342	1260.0	0.3389707844911351	1260.0	0.3520548005244848	1260.0	1.238119964052368	1260.0	0.700973636596209	1260.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120452	day14	lesional	False	unassigned	0.2348092203238367	22.0	0.1314788782654517	22.0	0.0598055810199766	22.0	0.0946876550151652	22.0	0.1622259008973259	22.0	0.1544479596190865	22.0	0.6754743375367634	22.0	0.3660331120209221	22.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	B_cell	0.2432871641208724	661.0	0.1669801083649345	661.0	0.1130925272189171	661.0	0.129676383673908	661.0	0.2914410360785191	661.0	0.2898730840190207	661.0	1.1333847758087774	661.0	0.6382515288323819	661.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	NK_cell	0.2497169078255129	40.0	0.1729657012890343	40.0	0.1184368610009215	40.0	0.131758599343447	40.0	0.2997547286904655	40.0	0.313475354535388	40.0	1.2211319992900445	40.0	0.6957034533021899	40.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	T_cell	0.2532831394382393	48.0	0.1723553305850276	48.0	0.1226262989692364	48.0	0.1322762184735522	48.0	0.298965029559572	48.0	0.2959478281716339	48.0	1.069007800567883	48.0	0.6071786860760908	48.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	dendritic	0.2566745499556657	153.0	0.1852746084466915	153.0	0.1345150246614086	153.0	0.150432766439519	153.0	0.3238392174533712	153.0	0.3158436430433762	153.0	1.1341004326236397	153.0	0.6712497110454066	153.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	endothelial	0.258261427307724	1122.0	0.1808854073228985	1122.0	0.1328555358086684	1122.0	0.1516292494700769	1122.0	0.2817366898728979	1122.0	0.2752815798095258	1122.0	1.0385549504324123	1122.0	0.5878081731504036	1122.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	fibroblast	0.2682228503336659	2882.0	0.2032994461872403	2882.0	0.1447748543312342	2882.0	0.1710675440844029	2882.0	0.2902390124417965	2882.0	0.2828737391288828	2882.0	0.98076063759408	2882.0	0.5702443819971506	2882.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	keratinocyte	0.3118719253433613	5148.0	0.2062897960768675	5148.0	0.1156186084671919	5148.0	0.1383139034375555	5148.0	0.3134299338455091	5148.0	0.2968525942333861	5148.0	1.0053840438503243	5148.0	0.5750569302286767	5148.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	mast_cell	0.173236440086795	287.0	0.0912634661229591	287.0	0.0450043797926867	287.0	0.0686064888694518	287.0	0.1271285851650876	287.0	0.1224567807107256	287.0	0.6484239802931591	287.0	0.3451744123331628	287.0																		
GSE228421_donor_celltype_axis_scores.tsv	P2	GSM7120453	baseline	lesional	True	melanocyte	0.3633408716267298	155.0	0.2585163951892714	155.0	0.1574943775172922	155.0	0.1708261904791791	155.0	0.4004072436184154	155.0	0.3383224971900551	155.0	0.9692459126341236	155.0	0.584162725300156	155.0																		
