donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	refined_state	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120450	baseline	nonlesional	True	B_cell	B_cell_plasma	0.26804325371652116	65	0.2016308891383014	65	0.15344739295159007	65	0.1692075476305346	65	0.3319990421170794	65	0.33330217539766205	65	1.243421784698882	65	0.6997529115109465	65
P1	GSM7120450	baseline	nonlesional	True	B_cell	B_cell_unresolved	0.26338537459572625	326	0.19662348895565976	326	0.14665957377551747	326	0.16526632359091561	326	0.3137270758033979	326	0.3182053882195119	326	1.113618221311957	326	0.6341339429406214	326
P1	GSM7120450	baseline	nonlesional	True	NK_cell	T_cell_TRM_T17_like	0.20994318841886192	5	0.16478398342095404	5	0.13178654028343845	5	0.1408409936499991	5	0.2833620503316864	5	0.311046371040029	5	1.202706816873918	5	0.6872466325479221	5
P1	GSM7120450	baseline	nonlesional	True	NK_cell	cytotoxic_NK_T	0.21757496271754237	13	0.1639299957113704	13	0.11699641946290949	13	0.12939919274707082	13	0.27259381259805504	13	0.2902820972939419	13	1.1705351500196732	13	0.6630119454004426	13
P1	GSM7120450	baseline	nonlesional	True	T_cell	T_cell_TRM_T17_like	0.21062955986235762	247	0.15962472729318952	247	0.120731356075347	247	0.1283938508633785	247	0.2714174062649001	247	0.2882351694051068	247	1.2056465731085186	247	0.6668676949050678	247
P1	GSM7120450	baseline	nonlesional	True	T_cell	T_cell_unresolved	0.08620361114977555	5	0.08208037548985854	5	0.05264564676823132	5	0.06032222420947544	5	0.1441643903532884	5	0.12250714305638902	5	0.46863459207189706	5	0.2628641972669121	5
P1	GSM7120450	baseline	nonlesional	True	dendritic	dendritic_LAMP3_CCR7	0.2339419253937517	30	0.1824876747624623	30	0.14166107009977472	30	0.15115872052360527	30	0.3147192784089817	30	0.31799279053992435	30	1.1380384675547495	30	0.6662789052281861	30
P1	GSM7120450	baseline	nonlesional	True	dendritic	myeloid_monocyte_macrophage	0.2649988083553302	65	0.20980887168911172	65	0.16194812813930878	65	0.17188650708939038	65	0.3562821986853185	65	0.3550449866468721	65	1.228440527089286	65	0.7213845300787549	65
P1	GSM7120450	baseline	nonlesional	True	endothelial	endothelial_activated	0.283211210282603	400	0.22500215938075263	400	0.17612063898266095	400	0.19330001948678863	400	0.3563572025019138	400	0.36348664410509257	400	1.2838859305878794	400	0.7287577501705949	400
P1	GSM7120450	baseline	nonlesional	True	endothelial	endothelial_vascular	0.28456455236844014	415	0.21362831645448294	415	0.163135601229996	415	0.17958709876533974	415	0.32787007888552283	415	0.32956997529511495	415	1.200060036570693	415	0.6756231625454386	415
P1	GSM7120450	baseline	nonlesional	True	fibroblast	fibroblast_homeostatic_matrix	0.30507295593291056	1514	0.23933451344873238	1514	0.1728985454746479	1514	0.2019368818929944	1514	0.31475012014942655	1514	0.3236128791991874	1514	1.1107466063085474	1514	0.640124950955899	1514
P1	GSM7120450	baseline	nonlesional	True	fibroblast	fibroblast_inflammatory	0.2521618266626949	61	0.19204637762723847	61	0.1300377834044683	61	0.15470096957151774	61	0.2641864858440381	61	0.2842719855448794	61	1.085056361561617	61	0.6072935796981171	61
P1	GSM7120450	baseline	nonlesional	True	fibroblast	fibroblast_unresolved	0.22301885531524446	1	0.12127502084448111	1	0.0730734861302289	1	0.10911900967100539	1	0.13955813112914003	1	0.1565866904889911	1	0.8910807980463068	1	0.4657774872199184	1
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_IFN_response	0.18241478623925325	3	0.16057130098530217	3	0.131166388946901	3	0.13244522235541598	3	0.19459712335941218	3	0.20073856650832797	3	0.8515880190642039	3	0.4719712219040237	3
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_basal	0.3326893037714053	1206	0.2394402917662407	1206	0.14691934424819286	1206	0.1682635322441444	1206	0.3579569779933856	1206	0.34839095801256015	1206	1.258201923818466	1206	0.7076580436412495	1206
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_inflammatory_T17	0.3066480945329173	16	0.2308260763903729	16	0.14823586112983006	16	0.1636199714084751	16	0.38996324416384376	16	0.3497126758014229	16	1.179256382225405	16	0.6781904956002895	16
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_proliferative	0.3643836172429843	10	0.27008572057323404	10	0.17400620954439466	10	0.18976873499734487	10	0.42906166004708857	10	0.43790362259288795	10	1.3643489539706102	10	0.7871030224504765	10
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_spinous_suprabasal	0.309676734731023	2765	0.21678031013171856	2765	0.12761713690665955	2765	0.14706143699767132	2765	0.3376101513082293	2765	0.32225355420625523	2765	1.2723838910086949	2765	0.7041489913504408	2765
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_stress_hypoxia	0.2600966043366106	14	0.19494778881144217	14	0.1311238774516416	14	0.14712474499474543	14	0.2860782917994353	14	0.2854062803306686	14	0.9834546088465632	14	0.5743892927975596	14
P1	GSM7120450	baseline	nonlesional	True	keratinocyte	keratinocyte_unresolved	0.2401541121318532	1	0.15488883932035236	1	0.09368148444490626	1	0.1415034491838639	1	0.10658639189271994	1	0.15278623518008172	1	0.2955379395342193	1	0.21284045674830032	1
P1	GSM7120450	baseline	nonlesional	True	mast_cell	mast_cell	0.1974431061513087	227	0.12130944110275306	227	0.07248752714456265	227	0.08992539091790067	227	0.19346642882085743	227	0.1953358101233275	227	1.0161513906582371	227	0.5406173164707792	227
P1	GSM7120450	baseline	nonlesional	True	melanocyte	melanocyte_unresolved	0.3875421112600002	188	0.2877478134571347	188	0.18528563436084786	188	0.20523714307578925	188	0.40534021166315665	188	0.3748535345897162	188	1.1370521174821973	188	0.6727094828028618	188
P1	GSM7120450	baseline	nonlesional	True	myeloid_monocyte	dendritic_LAMP3_CCR7	0.21922137949467407	4	0.16168996891858206	4	0.12181628122146193	4	0.1399241356390289	4	0.2840105171228105	4	0.306045108761541	4	1.125601623985122	4	0.6530009546282899	4
P1	GSM7120450	baseline	nonlesional	True	myeloid_monocyte	myeloid_monocyte_macrophage	0.2434237309950749	69	0.18215332118454478	69	0.1342208838594028	69	0.14991334105025408	69	0.3141443453587422	69	0.2972259475065998	69	1.012263902511563	69	0.5958782515718234	69
P1	GSM7120450	baseline	nonlesional	True	pericyte_smooth_muscle	pericyte_smooth_muscle_unresolved	0.27568592644725326	907	0.21193328897724537	907	0.15662586038445794	907	0.17614817579263037	907	0.31217242682423263	907	0.33215282199063895	907	1.1936076958651596	907	0.6691655897076009	907
