donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P2	GSM7120454	baseline	nonlesional	True	unassigned	0.22731869235386631	32	0.12243654594753989	32	0.06030464478063757	32	0.08892126566335869	32	0.1647470085106386	32	0.17226238937200725	32	0.9289575841270444	32	0.49024160524037647	32
P2	GSM7120455	day3	lesional	False	B_cell	0.2625158705243887	501	0.18013195645066343	501	0.12096730907592142	501	0.1374355996018097	501	0.3133843303728837	501	0.3114266414169914	501	1.2928777576911634	501	0.7219826630934804	501
P2	GSM7120455	day3	lesional	False	NK_cell	0.2620617206357047	31	0.18245498142067074	31	0.12388237113589934	31	0.1421543918693545	31	0.32730199439199387	31	0.3312422397614735	31	1.3274243224071742	31	0.7498529620951957	31
P2	GSM7120455	day3	lesional	False	T_cell	0.2683957241074827	92	0.18418321971348064	92	0.13352578307101662	92	0.14277976903840786	92	0.3259174513484998	92	0.3188585382277454	92	1.2060238152564333	92	0.6822186271924968	92
P2	GSM7120455	day3	lesional	False	dendritic	0.2557130958013738	89	0.1928326054706425	89	0.14526115914040869	89	0.15772751860058767	89	0.3438176543020402	89	0.3355808091588402	89	1.2488462080936409	89	0.7274359493720542	89
P2	GSM7120455	day3	lesional	False	endothelial	0.2898605761408476	948	0.19736853284602698	948	0.1401512987043933	948	0.16025763706419582	948	0.3025879196466169	948	0.2891888561780501	948	1.1277968492734718	948	0.6340426716436054	948
P2	GSM7120455	day3	lesional	False	fibroblast	0.31759156542592	1261	0.23550650926697425	1261	0.16593037111319575	1261	0.1926079925232063	1261	0.3396395433041142	1261	0.32584152191767357	1261	1.1752366297237569	1261	0.6758873615816744	1261
P2	GSM7120455	day3	lesional	False	keratinocyte	0.3577361457058397	5656	0.23631499825650085	5656	0.13348840454799482	5656	0.15560671911580937	5656	0.36738153918306266	5656	0.3376354596447414	5656	1.132656041659705	5656	0.6484714889423211	5656
P2	GSM7120455	day3	lesional	False	mast_cell	0.20233701513774538	155	0.1067102428035889	155	0.05243583151289897	155	0.07983494549213138	155	0.14989923358444754	155	0.1439132199478609	155	0.8340702923789283	155	0.4372123870675091	155
P2	GSM7120455	day3	lesional	False	melanocyte	0.38840475084114723	205	0.27492350336714366	205	0.16821340649062927	205	0.18297899414294694	205	0.4129113117288483	205	0.3554506860242888	205	1.0821156252824276	205	0.6449268473123277	205
P2	GSM7120455	day3	lesional	False	myeloid_monocyte	0.2608192122905439	1224	0.18857863138216824	1224	0.13641831041778515	1224	0.1522194840453694	1224	0.3339744971985692	1224	0.30823850344552417	1224	1.1653243017543098	1224	0.6795948054775796	1224
P2	GSM7120455	day3	lesional	False	pericyte_smooth_muscle	0.3224378794661878	732	0.22676912368677865	732	0.16486658078085797	732	0.18794304203223702	732	0.3487034272162132	732	0.34269788691321096	732	1.2630190808648465	732	0.7077757802769806	732
P2	GSM7120455	day3	lesional	False	unassigned	0.23540238108785022	1	0.1137314439716314	1	0.04245948313433949	1	0.07997937735544867	1	0.17342704875588852	1	0.1998447736023349	1	1.0739952980373815	1	0.5306894845715237	1
P2	GSM7120456	day14	lesional	False	B_cell	0.27562319250553724	625	0.18996880581068	625	0.12706657338610702	625	0.1459252928397293	625	0.3197517922798324	625	0.3253566296431307	625	1.2707124856858885	625	0.7136909329898633	625
P2	GSM7120456	day14	lesional	False	NK_cell	0.27338659298311224	46	0.1905730428066246	46	0.12458253239813835	46	0.14392388868534461	46	0.3189130790333798	46	0.3292531472897691	46	1.2903340693206893	46	0.7347513410223165	46
P2	GSM7120456	day14	lesional	False	T_cell	0.2540652752410177	211	0.1715844759886426	211	0.11661603968076664	211	0.13128774387743286	211	0.2880550753439622	211	0.29691022311815307	211	1.1679025813851152	211	0.6528972556004821	211
P2	GSM7120456	day14	lesional	False	dendritic	0.2771299201866944	220	0.20574563764639608	220	0.15340996794999695	220	0.16645074356006814	220	0.3629794943705682	220	0.3539457736579582	220	1.2512647186358157	220	0.7368544510104457	220
