gsm	donor_id	timepoint	tissue_state	file	bytes	sha256
GSM7120464	P4	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120464/GSM7120464_P4_V3_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120463	P4	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120463/GSM7120463_P4_V2_L.matrix.mtx.gz	136696852	86e23b0a863c4515a9f3357c24d30bc5c4ec264cb69fd73ea24b7bf735529c0b
GSM7120465	P5	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120465/GSM7120465_P5_V1_L.barcodes.tsv.gz	5898714	94e3d7b0de2c7bd1d4573be44d950b68f6e386620b451638fb146ebf4be393f5
GSM7120465	P5	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120465/GSM7120465_P5_V1_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120464	P4	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120464/GSM7120464_P4_V3_L.matrix.mtx.gz	116366000	533a9e87e5ed33faa99fc6ba52a71dfb75d1132981af1483686bd09c4ee75a54
GSM7120466	P5	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120466/GSM7120466_P5_V1_NL.barcodes.tsv.gz	5253850	b50dc40dbe69a83593993455a54406e6b25ca0058bb84660f054215f725ff673
GSM7120466	P5	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120466/GSM7120466_P5_V1_NL.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120465	P5	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120465/GSM7120465_P5_V1_L.matrix.mtx.gz	146685346	a09096b30a4225cf8db4313573d7b5992439e3175a2a0e70fc953dc8f51a6041
GSM7120467	P5	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120467/GSM7120467_P5_V2_L.barcodes.tsv.gz	5707625	d692b45ab1e8de4379419ceab02ab851f62092857de60155e08e7f9da549fc37
GSM7120467	P5	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120467/GSM7120467_P5_V2_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120466	P5	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120466/GSM7120466_P5_V1_NL.matrix.mtx.gz	103866107	66e9ed0fc754ee56a364284e2a75110973e0af52e9daeb38fc2b4628be2f1ed6
GSM7120468	P5	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120468/GSM7120468_P5_V3_L.barcodes.tsv.gz	6341125	6c98fe32de94c700d72af2b56314bf7a4484a164627c2a8c7c343fdb1e51d89d
GSM7120468	P5	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120468/GSM7120468_P5_V3_L.features.tsv.gz	294580	b002e49db205e104d7514b173de2136052f717f2682f90c7d938bba6f2cce34f
GSM7120467	P5	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120467/GSM7120467_P5_V2_L.matrix.mtx.gz	132195350	7092724987ae90ac1ba7071282c4c37c62ee72f3e9bc7c1d39c72697b9e29d75
GSM7120468	P5	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120468/GSM7120468_P5_V3_L.matrix.mtx.gz	132108554	0b2638999a082dd5835ead2260990b10f9cd29bc876f757128f4631469d0771e
GSM7120451	P1	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120451/GSM7120451_P1_V2_L.matrix.mtx.gz	135391428	ac5b7bb579d7f1e872e7bd13d85eaeb797bc67d0efd6bf4dce9a6db6c2b2515c
GSM7120461	P4	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120461/GSM7120461_P4_V1_L.matrix.mtx.gz	159067586	064118249fe4a12ee3d5f81d7c3630cda9053b0ce0c1ef7f56dec34c35997f2a
