# MEAN_SAMPLE_SIZE = 82975
# TOTAL_GENES = 18005
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
F1_NULL_0268       SET     252     0.045117    0.0053003     0.060543      0.22808
F1_NULL_0269       SET     252     0.048202    0.0056627     0.060642      0.21335
F1_NULL_0270       SET     252    -0.027951   -0.0032836     0.061757      0.67458
F1_NULL_0271       SET     252    -0.025016   -0.0029388     0.061787      0.65721
F1_NULL_0272       SET     252    -0.047101   -0.0055333     0.061523      0.77803
F1_NULL_0273       SET     252     0.016466    0.0019344     0.062711      0.39644
F1_NULL_0274       SET     252     -0.02188   -0.0025704     0.061816      0.63831
F1_NULL_0275       SET     252     -0.12812    -0.015051     0.063364       0.9784
F1_NULL_0276       SET     252    -0.011567   -0.0013589     0.061918      0.57409
F1_NULL_0277       SET     252     0.052698    0.0061908     0.060797      0.19303
F1_NULL_0278       SET     252     0.064005    0.0075191     0.060526      0.14515
F1_NULL_0279       SET     252   -0.0041956  -0.00049289      0.06051      0.52764
F1_NULL_0280       SET     252    -0.067392    -0.007917     0.061535      0.86327
F1_NULL_0281       SET     252   -0.0040304  -0.00047348     0.062238      0.52582
F1_NULL_0282       SET     252     -0.12889    -0.015142     0.063114      0.97942
F1_NULL_0283       SET     252    -0.032366   -0.0038023      0.06122      0.70148
F1_NULL_0284       SET     252     0.046144    0.0054209     0.061292      0.22577
F1_NULL_0285       SET     252    0.0028025   0.00032923     0.062193      0.48203
F1_NULL_0286       SET     252     0.023898    0.0028074     0.061832      0.34957
F1_NULL_0287       SET     252    -0.080145   -0.0094153     0.063044      0.89817
F1_NULL_0288       SET     252     0.055574    0.0065286     0.059696      0.17595
F1_NULL_0289       SET     252     0.017604    0.0020681     0.061467      0.38729
F1_NULL_0290       SET     252    0.0043873   0.00051541     0.063442      0.47243
F1_NULL_0291       SET     252     0.080103    0.0094104     0.061498     0.096375
F1_NULL_0292       SET     252    -0.081485   -0.0095727     0.061022      0.90911
F1_NULL_0293       SET     252     0.021872    0.0025695     0.061483      0.36102
F1_NULL_0294       SET     252     -0.11905    -0.013986     0.061879      0.97281
F1_NULL_0295       SET     252     0.018726    0.0021999     0.061406       0.3802
F1_NULL_0296       SET     252   -0.0074848   -0.0008793     0.061167       0.5487
F1_NULL_0297       SET     252    -0.074694   -0.0087749     0.061792      0.88662
F1_NULL_0298       SET     252     -0.12762    -0.014992     0.062816       0.9789
F1_NULL_0299       SET     252     -0.18239    -0.021427     0.061808      0.99841
F1_NULL_0300       SET     252     0.017289    0.0020311     0.060754      0.38799
F1_NULL_0301       SET     252    -0.053614   -0.0062985     0.060686       0.8115
F1_NULL_0302       SET     252    -0.091753    -0.010779     0.061285      0.93281
F1_NULL_0303       SET     252     -0.10443    -0.012268     0.061452      0.95537
F1_NULL_0304       SET     252     0.036379    0.0042737     0.059744      0.27129
F1_NULL_0305       SET     252    0.0077099   0.00090574     0.061559      0.45017
F1_NULL_0306       SET     252    0.0023752   0.00027903     0.061583      0.48462
F1_NULL_0307       SET     252    -0.040548   -0.0047635     0.060745      0.74777
F1_NULL_0308       SET     252    -0.052843   -0.0062079     0.061277      0.80575
F1_NULL_0309       SET     252     0.034657    0.0040715     0.059011       0.2785
F1_NULL_0310       SET     252    -0.081448   -0.0095683     0.061209      0.90834
F1_NULL_0311       SET     252    -0.051285   -0.0060249     0.061064       0.7995
F1_NULL_0312       SET     252     0.069543    0.0081697     0.059626      0.12175
F1_NULL_0313       SET     252     0.096865     0.011379      0.06175     0.058373
F1_NULL_0314       SET     252    -0.067018   -0.0078731     0.060838      0.86467
F1_NULL_0315       SET     252     0.004024   0.00047273      0.06168      0.47399
F1_NULL_0316       SET     252    -0.060129   -0.0070638      0.06114       0.8373
F1_NULL_0317       SET     252     0.063957    0.0075135     0.061066      0.14748
F1_NULL_0318       SET     252     0.036425    0.0042792     0.061134      0.27565
F1_NULL_0319       SET     252     -0.01234   -0.0014497     0.062505      0.57825
F1_NULL_0320       SET     252      0.03861    0.0045358     0.060592        0.262
F1_NULL_0321       SET     252    -0.075144   -0.0088277     0.063153      0.88294
F1_NULL_0322       SET     252    -0.055724   -0.0065464      0.06234       0.8143
F1_NULL_0323       SET     252    -0.045214   -0.0053116     0.059967      0.77456
F1_NULL_0324       SET     252     0.034492    0.0040521     0.062737      0.29124
F1_NULL_0325       SET     252    -0.010203   -0.0011987     0.060965      0.56646
F1_NULL_0326       SET     252    0.0061871   0.00072685      0.06068      0.45939
F1_NULL_0327       SET     252    -0.050444    -0.005926      0.05986      0.80029
F1_NULL_0328       SET     252      0.10713     0.012586     0.060757     0.038932
F1_NULL_0329       SET     252    -0.023624   -0.0027753     0.062116      0.64814
F1_NULL_0330       SET     252    -0.061646   -0.0072421      0.06213      0.83945
F1_NULL_0331       SET     252     0.015252    0.0017917     0.061542      0.40214
F1_NULL_0332       SET     252     0.022053    0.0025908     0.061148      0.35918
F1_NULL_0333       SET     252    -0.051387   -0.0060368     0.061692      0.79756
F1_NULL_0334       SET     252   -0.0023345  -0.00027426     0.062165      0.51498
F1_NULL_0335       SET     252     0.030153    0.0035423      0.06012        0.308
F1_NULL_0336       SET     252    -0.033602   -0.0039475     0.061635      0.70718
F1_NULL_0337       SET     252     0.086156     0.010121     0.059385     0.073426
F1_NULL_0338       SET     252    -0.025346   -0.0029776     0.061896      0.65891
F1_NULL_0339       SET     252     0.061424    0.0072159     0.064134      0.16911
F1_NULL_0340       SET     252   0.00085904   0.00010092     0.061395      0.49442
F1_NULL_0341       SET     252   -0.0062823  -0.00073803      0.06155      0.54065
F1_NULL_0342       SET     252     0.022347    0.0026253      0.06165       0.3585
F1_NULL_0343       SET     252    -0.025964   -0.0030501     0.061959       0.6624
F1_NULL_0344       SET     252     0.068578    0.0080564     0.059527      0.12466
F1_NULL_0345       SET     252    -0.024394   -0.0028657     0.063189      0.65026
F1_NULL_0346       SET     252    -0.056044   -0.0065839     0.060477      0.82295
