axis	null_set_id	target_genes	sampled_genes	fallback_draws
F1	F1_NULL_0609	252	252	1
F1	F1_NULL_0610	252	252	1
F1	F1_NULL_0611	252	252	1
F1	F1_NULL_0612	252	252	1
F1	F1_NULL_0613	252	252	1
F1	F1_NULL_0614	252	252	1
F1	F1_NULL_0615	252	252	1
F1	F1_NULL_0616	252	252	1
F1	F1_NULL_0617	252	252	1
F1	F1_NULL_0618	252	252	1
F1	F1_NULL_0619	252	252	1
F1	F1_NULL_0620	252	252	1
F1	F1_NULL_0621	252	252	1
F1	F1_NULL_0622	252	252	1
F1	F1_NULL_0623	252	252	1
F1	F1_NULL_0624	252	252	1
F1	F1_NULL_0625	252	252	1
F1	F1_NULL_0626	252	252	1
F1	F1_NULL_0627	252	252	1
F1	F1_NULL_0628	252	252	1
F1	F1_NULL_0629	252	252	1
F1	F1_NULL_0630	252	252	1
F1	F1_NULL_0631	252	252	1
F1	F1_NULL_0632	252	252	1
F1	F1_NULL_0633	252	252	1
F1	F1_NULL_0634	252	252	1
F1	F1_NULL_0635	252	252	1
F1	F1_NULL_0636	252	252	1
F1	F1_NULL_0637	252	252	1
F1	F1_NULL_0638	252	252	1
F1	F1_NULL_0639	252	252	1
F1	F1_NULL_0640	252	252	1
F1	F1_NULL_0641	252	252	1
F1	F1_NULL_0642	252	252	1
F1	F1_NULL_0643	252	252	1
F1	F1_NULL_0644	252	252	1
F1	F1_NULL_0645	252	252	1
F1	F1_NULL_0646	252	252	1
F1	F1_NULL_0647	252	252	1
F1	F1_NULL_0648	252	252	1
F1	F1_NULL_0649	252	252	1
F1	F1_NULL_0650	252	252	1
F1	F1_NULL_0651	252	252	1
F1	F1_NULL_0652	252	252	1
F1	F1_NULL_0653	252	252	1
F1	F1_NULL_0654	252	252	1
F1	F1_NULL_0655	252	252	1
F1	F1_NULL_0656	252	252	1
F1	F1_NULL_0657	252	252	1
F1	F1_NULL_0658	252	252	1
F1	F1_NULL_0659	252	252	1
F1	F1_NULL_0660	252	252	1
F1	F1_NULL_0661	252	252	1
F1	F1_NULL_0662	252	252	1
F1	F1_NULL_0663	252	252	1
F1	F1_NULL_0664	252	252	1
F1	F1_NULL_0665	252	252	1
F1	F1_NULL_0666	252	252	1
F1	F1_NULL_0667	252	252	1
F1	F1_NULL_0668	252	252	1
F1	F1_NULL_0669	252	252	1
F1	F1_NULL_0670	252	252	1
F1	F1_NULL_0671	252	252	1
F1	F1_NULL_0672	252	252	1
F1	F1_NULL_0673	252	252	1
F1	F1_NULL_0674	252	252	1
