sample_id	source_file	pc1	pc2	pca_scope
6021-0005	Skin_norm_counts_d.txt	20.295450511047225	1.944164839243221	discovery_skin_baseline_norm
6022-0005	Skin_norm_counts_d.txt	14.154605418175407	5.888440757640337	discovery_skin_baseline_norm
6022-0006	Skin_norm_counts_d.txt	-36.931692152199176	21.895508199318225	discovery_skin_baseline_norm
6023-0005	Skin_norm_counts_d.txt	-5.0166452940528	-12.668858342070914	discovery_skin_baseline_norm
6023-0006	Skin_norm_counts_d.txt	-26.973967767444943	-9.466983311289738	discovery_skin_baseline_norm
6024-0006	Skin_norm_counts_d.txt	-29.992603646621806	-10.143816144368378	discovery_skin_baseline_norm
6024-0005	Skin_norm_counts_d.txt	33.949785356927364	-21.865575829301086	discovery_skin_baseline_norm
6025-0006	Skin_norm_counts_d.txt	-30.00341106635241	4.456519332726508	discovery_skin_baseline_norm
6025-0005	Skin_norm_counts_d.txt	2.0692727770342234	8.51817285460119	discovery_skin_baseline_norm
6026-0005	Skin_norm_counts_d.txt	0.21416471439944287	-14.945715231060023	discovery_skin_baseline_norm
6026-0006	Skin_norm_counts_d.txt	-25.929144726698297	-16.30829656748073	discovery_skin_baseline_norm
6028-0006	Skin_norm_counts_d.txt	-25.015710034334912	5.760725890637224	discovery_skin_baseline_norm
6028-0005	Skin_norm_counts_d.txt	13.691443662334674	1.0651687133788086	discovery_skin_baseline_norm
6029-0005	Skin_norm_counts_d.txt	42.99229694014023	6.28175067353001	discovery_skin_baseline_norm
6029-0006	Skin_norm_counts_d.txt	-18.423305261304264	3.5212396286182517	discovery_skin_baseline_norm
6030-0005	Skin_norm_counts_d.txt	17.605519493242618	6.411166538512496	discovery_skin_baseline_norm
6030-0006	Skin_norm_counts_d.txt	-17.9061410788576	-1.8991081521394113	discovery_skin_baseline_norm
6031-0006	Skin_norm_counts_d.txt	-0.13988854103496484	-0.16663635344309438	discovery_skin_baseline_norm
6031-0005	Skin_norm_counts_d.txt	30.15334307295204	8.707343243139412	discovery_skin_baseline_norm
6032-0005	Skin_norm_counts_d.txt	36.863609232141926	12.817888805770943	discovery_skin_baseline_norm
6032-0006	Skin_norm_counts_d.txt	-36.08816708356896	14.9427434615788	discovery_skin_baseline_norm
6033-0006	Skin_norm_counts_d.txt	-30.932648520398093	-1.4942108336928401	discovery_skin_baseline_norm
6033-0005	Skin_norm_counts_d.txt	20.237854095468016	6.336182562722538	discovery_skin_baseline_norm
6034-0005	Skin_norm_counts_d.txt	31.146735587442798	-5.50755600372033	discovery_skin_baseline_norm
6034-0006	Skin_norm_counts_d.txt	-31.414490148193977	1.6246812202490493	discovery_skin_baseline_norm
6035-0005	Skin_norm_counts_d.txt	21.769621992365682	-4.464503852530997	discovery_skin_baseline_norm
6035-0006	Skin_norm_counts_d.txt	-26.217754912174414	-5.962158773557028	discovery_skin_baseline_norm
6036-0005	Skin_norm_counts_d.txt	52.4491654090102	-18.706575627252455	discovery_skin_baseline_norm
6036-0006	Skin_norm_counts_d.txt	-28.15284768742589	-12.210464953615709	discovery_skin_baseline_norm
6038-0005	Skin_norm_counts_d.txt	7.930971646954051	-4.300481831864431	discovery_skin_baseline_norm
6038-0006	Skin_norm_counts_d.txt	-26.292408982150146	-3.768539369499295	discovery_skin_baseline_norm
6039-0006	Skin_norm_counts_d.txt	-29.296281872294646	-2.841885848969828	discovery_skin_baseline_norm
6039-0005	Skin_norm_counts_d.txt	31.77528933683571	-13.283256983599715	discovery_skin_baseline_norm
