factor	view	feature	feature_family	feature_name	loading	abs_loading_rank_within_factor_view
F6	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-1.6705009329598397e-05	392.0
F7	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.18820405006408691	259.0
F8	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	0.0002596772974357009	67.0
F1	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.042122602462768555	86.0
F2	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-3.5824305086862296e-05	325.0
F3	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.045242778956890106	415.0
F4	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	0.00549289770424366	443.0
F5	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.0008122877334244549	79.0
F6	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	0.00019433906709309667	90.0
F7	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	0.6372760534286499	7.0
F8	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	0.0001364639465464279	172.0
F1	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	0.022158481180667877	167.0
F2	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	0.00011942218407057226	122.0
F3	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	-0.4987366199493408	64.0
F4	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	0.04828455299139023	400.0
F5	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	-0.0006364551372826099	113.0
F6	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	1.5134995919652283e-05	399.0
F7	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	0.17133204638957977	279.0
F8	BLD	regulon_DoRothEA::SMAD3	regulon_DoRothEA	SMAD3	7.079666102072224e-05	273.0
F1	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	0.0024953586980700493	397.0
F2	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	-1.2267558304301929e-05	412.0
F3	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	-0.5824070572853088	28.0
F4	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	0.14617624878883362	289.0
F5	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	-0.0005035375361330807	143.0
F6	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	-9.243303793482482e-06	417.0
F7	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	-0.04269324615597725	403.0
F8	BLD	regulon_DoRothEA::JUN	regulon_DoRothEA	JUN	0.00023884119582362473	76.0
F1	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	0.03460570424795151	101.0
F2	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	7.955577530083247e-06	428.0
F3	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	-0.5105775594711304	57.0
F4	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	-0.18137960135936737	256.0
F5	BLD	regulon_DoRothEA::AHR	regulon_DoRothEA	AHR	0.00033408351009711623	203.0
